params,episode,cumulative_reward,mean_waiting_time
learning_rate:0.01,11,-3818.0,16.807534967698984
learning_rate:0.01,12,2847.0,16.05625618525392
learning_rate:0.01,13,-3087.0,16.472112503292678
learning_rate:0.01,14,3635.0,15.398109652654094
learning_rate:0.01,15,-474.0,15.374111031768171
learning_rate:0.01,16,-463.0,14.898824696096943
learning_rate:0.01,17,-102.0,14.762501641460362
learning_rate:0.01,18,-2104.0,14.395628102305011
learning_rate:0.01,19,2451.0,13.853335851632226
learning_rate:0.01,20,-1125.0,13.783166730338536
learning_rate:0.01,21,-2570.0,13.84181270079132
learning_rate:0.01,22,4288.0,13.07245181668141
learning_rate:0.01,23,-535.0,12.815068753855366
learning_rate:0.01,24,573.0,13.085434912612948
learning_rate:0.01,25,-3032.0,12.902461720970015
learning_rate:0.01,26,3492.0,12.782099648865522
learning_rate:0.01,27,-1278.0,12.714678878995478
learning_rate:0.01,28,1850.0,11.99892598984012
learning_rate:0.01,29,-268.0,12.18974417281739
learning_rate:0.01,30,-984.0,12.268869617172523
learning_rate:0.01,31,149.0,11.595765314944884
learning_rate:0.01,32,605.0,11.980770754703492
learning_rate:0.01,33,-1293.0,11.19498057152986
learning_rate:0.01,34,1556.0,11.702856647603532
learning_rate:0.01,35,-956.0,11.10757852885305
learning_rate:0.01,36,1002.0,11.080990795423096
learning_rate:0.01,37,-208.0,11.02951436538581
learning_rate:0.01,38,-923.0,11.163481681711891
learning_rate:0.01,39,210.0,10.860186521501877
learning_rate:0.01,40,1152.0,10.824971944562122
learning_rate:0.01,41,-483.0,10.380427870402249
learning_rate:0.01,42,248.0,10.956754710033593
learning_rate:0.01,43,-132.0,10.793895530968397
learning_rate:0.01,44,-3530.0,10.698419834365215
learning_rate:0.01,45,2626.0,10.442779804489806
learning_rate:0.01,46,395.0,10.451286449174649
learning_rate:0.01,47,-905.0,9.615282730824765
learning_rate:0.01,48,2140.0,9.422278365443377
learning_rate:0.01,49,-771.0,9.163658234636696
