params,episode,cumulative_reward,mean_waiting_time,elapsed_time
lane_info:halted,0,-4751.0,19.831773301218046,95.4343044757843
lane_info:halted,1,-201.0,19.97579612393764,87.7331235408783
lane_info:halted,2,3630.0,18.610168951144026,86.06759858131409
lane_info:halted,3,-5417.0,18.434051427823,66.85560584068298
lane_info:halted,4,4605.0,17.994208793882176,81.56695556640625
lane_info:halted,5,-4128.0,17.95405441466847,79.41440415382385
lane_info:halted,6,106.0,16.986652963385936,60.74651765823364
lane_info:halted,7,3137.0,16.124637883103837,61.182899713516235
lane_info:halted,8,1061.0,15.815596910521808,61.95506429672241
lane_info:halted,9,-3175.0,14.711847496139896,55.422895193099976
lane_info:halted,10,2503.0,14.229357660974875,58.561604022979736
lane_info:halted,11,746.0,14.300169009615397,51.7186381816864
lane_info:halted,12,-1922.0,14.138398836845658,58.29749131202698
lane_info:halted,13,2966.0,13.421283252055298,50.84522581100464
lane_info:halted,14,-451.0,13.238569696691707,41.97562623023987
lane_info:halted,15,-580.0,13.300740593361285,48.5070686340332
lane_info:halted,16,680.0,12.63793907324663,49.09812259674072
lane_info:halted,17,-141.0,12.23972975116113,44.935713052749634
lane_info:halted,18,-1524.0,12.092695921194837,45.87206315994263
lane_info:halted,19,2579.0,12.309151735594758,48.69511699676514
lane_info:halted,20,-4487.0,11.643226562925935,41.08825898170471
lane_info:halted,21,3241.0,11.830302837109148,53.0261812210083
lane_info:halted,22,63.0,11.368810357841761,40.06418585777283
lane_info:halted,23,-1286.0,11.600609016215605,45.21860218048096
lane_info:halted,24,1422.0,10.885638194811131,42.78079962730408
lane_info:halted,25,425.0,10.937880063088835,38.817230463027954
lane_info:halted,26,-598.0,10.523077395206661,37.66802763938904
lane_info:halted,27,452.0,10.55222789497065,36.42373776435852
lane_info:halted,28,-325.0,9.81270739345125,34.94647216796875
lane_info:halted,29,255.0,9.41098920519993,33.17729067802429
lane_info:halted,30,-321.0,9.901178478052335,37.765610456466675
lane_info:halted,31,357.0,10.097031389814141,37.76101613044739
lane_info:halted,32,-1022.0,9.564616858528211,38.01115965843201
lane_info:halted,33,1413.0,9.657937051921063,40.23558473587036
lane_info:halted,34,-485.0,9.877544595480813,34.18618440628052
lane_info:halted,35,-505.0,8.806621795638788,32.81147217750549
lane_info:halted,36,-276.0,8.796699570153928,34.00213432312012
lane_info:halted,37,709.0,8.774423288152954,34.010985136032104
lane_info:halted,38,949.0,8.07381508476054,30.608705520629883
lane_info:halted,39,-538.0,7.732782865841167,29.863900661468506
lane_info:halted,40,439.0,6.991892253217486,29.799875736236572
lane_info:halted,41,105.0,6.873664405598715,28.274955987930298
lane_info:halted,42,-127.0,7.022605933867876,29.18350863456726
lane_info:halted,43,244.0,6.689408892027014,28.906206846237183
lane_info:halted,44,-218.0,6.40343317652927,28.629777193069458
lane_info:halted,45,-80.0,5.964272820647121,27.469108819961548
lane_info:halted,46,185.0,5.888336548325243,28.285682439804077
lane_info:halted,47,198.0,5.175259383002764,26.247938632965088
lane_info:halted,48,-462.0,5.5949540703919345,26.924859285354614
lane_info:halted,49,408.0,5.029985453031345,25.83007574081421
lane_info:halted,50,125.0,4.946745601028658,26.128093242645264
lane_info:halted,51,-81.0,5.044912945215424,26.616153955459595
lane_info:halted,52,-91.0,4.379352754265247,25.700329303741455
lane_info:halted,53,-317.0,4.042726864545179,24.699851512908936
lane_info:halted,54,449.0,4.25814529999748,24.88307237625122
lane_info:halted,55,-63.0,3.9168217294009806,24.872710466384888
lane_info:halted,56,101.0,3.4927873533824143,24.37196969985962
lane_info:halted,57,-710.0,3.9700089411032153,24.964110374450684
lane_info:halted,58,517.0,3.381750273973516,24.217494010925293
lane_info:halted,59,146.0,3.1472079586937642,23.803425788879395
lane_info:halted,60,60.0,3.87862372675021,25.378718852996826
lane_info:halted,61,-70.0,3.028662962696479,24.291358470916748
lane_info:halted,62,-13.0,3.7270495112610744,25.591622352600098
lane_info:halted,63,36.0,2.7179604629177643,23.483600854873657
lane_info:halted,64,-675.0,2.3919379746685028,23.092557191848755
lane_info:halted,65,425.0,2.6755157108339978,23.570045948028564
lane_info:halted,66,186.0,2.6561841396544352,23.511749744415283
lane_info:halted,67,79.0,2.433853064285948,23.73653244972229
lane_info:halted,68,-10.0,2.8761163993977217,24.296764850616455
lane_info:halted,69,-98.0,2.3850566248076097,23.666860580444336
lane_info:halted,70,108.0,2.6553075221970475,24.06341052055359
lane_info:halted,71,-12.0,2.4186031879151417,23.46763014793396
lane_info:halted,72,-26.0,2.1157765704557607,22.92522668838501
lane_info:halted,73,36.0,2.1373272249202335,22.934712886810303
lane_info:halted,74,-20.0,2.3278893788165793,23.149567127227783
lane_info:halted,75,-51.0,2.339923424027988,23.351664781570435
lane_info:halted,76,53.0,2.191049721722006,23.21645736694336
lane_info:halted,77,3.0,2.166380620253572,23.19850754737854
lane_info:halted,78,-65.0,1.9571734215662415,23.402812242507935
lane_info:halted,79,33.0,2.0726367706594737,23.400338649749756
lane_info:halted,80,-44.0,2.1868104289635255,23.520331382751465
lane_info:halted,81,131.0,2.129804139666772,23.234703540802002
lane_info:halted,82,-155.0,1.9238155637798715,22.938290119171143
lane_info:halted,83,22.0,2.2153746261267977,23.251307487487793
lane_info:halted,84,111.0,2.0556024852069616,23.04983139038086
lane_info:halted,85,-126.0,1.9983338383760167,23.52230668067932
lane_info:halted,86,61.0,1.9792259535657148,23.582456350326538
lane_info:halted,87,70.0,1.9800948431507848,23.55526089668274
lane_info:halted,88,-10.0,1.8686985503830358,22.876264810562134
