episode,cumulative_reward,mean_waiting_time
0,-1659.0,18.49865016721128
1,-781.0,18.411823354915335
2,278.0,18.60441796970224
3,-183.0,18.537154856830206
4,232.0,18.572630453081565
5,-90.0,18.642997129519774
6,-377.0,18.483078854124773
7,310.0,18.60844873964878
8,33.0,18.4524905516655
9,308.0,18.500522985515442
10,-624.0,18.639593213818365
11,570.0,18.611147316093344
12,-275.0,18.599522369148186
13,492.0,18.574312612754717
14,-232.0,18.548838483828984
15,-362.0,18.543991744313654
16,249.0,18.40624430135408
17,-389.0,18.50591448478784
18,-260.0,18.369154345469767
19,602.0,18.509108747846582
20,117.0,18.769278399337857
21,-286.0,18.27699730057644
22,-16.0,18.620423726006482
23,506.0,18.665157452401008
24,-555.0,18.65040219852071
25,211.0,18.58703180953424
26,56.0,18.708131996012234
27,-47.0,18.480066491229163
28,-58.0,18.45442649736561
29,-339.0,18.3895652780479
30,355.0,18.636293596195394
31,147.0,18.50681305590962
32,-270.0,18.395733493916946
33,924.0,18.527114465557784
34,-1281.0,18.73373813301478
35,813.0,18.628133517602873
36,-360.0,18.644844924901975
37,357.0,18.457839293854846
38,-199.0,18.627375180423904
39,-94.0,18.538460963142924
40,-284.0,18.293939123619214
41,294.0,18.56964553744515
42,-182.0,18.70720984693007
43,103.0,18.55379896859043
44,56.0,18.67240346529309
45,-276.0,18.94283663091114
46,298.0,18.554459530392933
47,-236.0,18.64727090096618
48,336.0,18.763633123739595
49,-39.0,19.022295575372134
50,-188.0,18.364059234626342
51,114.0,18.302638558266334
52,471.0,18.593677833086915
53,-1035.0,18.661094914483826
54,321.0,18.52097419126306
55,325.0,18.216765212649538
56,0.0,18.525030720955655
57,-522.0,18.5321313708334
58,557.0,18.501041860917162
59,-145.0,18.521367640450666
60,-279.0,18.486467564418724
61,504.0,18.484768579394604
62,-609.0,18.473567315723223
63,64.0,18.47388960511368
64,209.0,18.487158972942577
65,414.0,18.587248507371438
66,-126.0,18.75374330863441
67,-146.0,18.643354519148332
68,-237.0,18.796398224329796
69,741.0,18.30317503032064
70,-418.0,18.660681776291604
71,8.0,18.53565347390661
72,-396.0,18.631553664264494
73,503.0,18.446229480823344
74,-166.0,18.255342978847736
75,-398.0,18.843765243225786
76,372.0,18.402647127782608
77,-239.0,18.638888154406004
78,259.0,18.807118716926578
79,226.0,18.501854663858218
80,-438.0,18.52375728703591
81,-47.0,18.40100172513395
82,-33.0,18.411862169874293
83,-1.0,18.640335274654465
84,843.0,18.40012645419587
85,-505.0,18.453617767308682
86,123.0,18.572749150357964
87,-445.0,18.507559740355116
88,150.0,18.486495822006866
89,257.0,18.542059113156387
90,-341.0,18.56313937833695
91,314.0,18.701187321287357
92,70.0,18.607373164086493
93,-14.0,18.513372508936243
94,-30.0,18.489806362254576
95,-147.0,18.85887798460038
96,-235.0,18.73140424198873
97,71.0,18.433690465669336
98,-37.0,18.567107636641623
99,-370.0,18.62691149486049
100,318.0,18.424864884050645
101,755.0,18.43220640988753
102,-682.0,18.40294724231453
103,143.0,19.077850052869213
104,-95.0,18.450950107529902
105,161.0,18.21718779718436
106,78.0,18.601566922285098
107,-115.0,18.585710515146648
108,111.0,18.542611920230474
109,327.0,18.73431669022481
110,-200.0,18.574911674796127
111,62.0,18.51952998388953
112,-628.0,18.6968708655541
113,-224.0,18.46979154654926
114,684.0,18.49786260741697
115,42.0,18.813000086203573
116,-75.0,18.69246197403195
117,-242.0,18.439201237857198
118,-152.0,18.674772977384716
119,450.0,18.456619969362553
120,-88.0,18.490663314082543
121,103.0,18.814574176936613
122,-313.0,18.480618020251747
123,73.0,18.523825084656853
124,620.0,18.55501712010703
125,-712.0,18.519271898298086
126,-60.0,18.466388259761988
127,179.0,18.502664077503205
128,277.0,18.4923299825214
129,-35.0,18.62456749036702
130,-342.0,18.94507561761693
131,88.0,18.485010655143153
132,-6.0,18.516555327077644
133,-141.0,18.55886398486942
134,66.0,18.63317584544443
135,-10.0,18.460076105052817
136,160.0,18.450730588016157
137,52.0,18.70572254135318
138,189.0,18.737271912030636
139,41.0,18.20087658105593
140,-442.0,18.489463422172456
141,-92.0,18.482135381698658
142,202.0,18.519800554673168
143,3.0,18.645988386855475
144,223.0,18.538679103195285
145,-65.0,18.491436677529407
146,-234.0,18.50409817582068
147,-176.0,18.580517946295554
148,228.0,18.54524820507121
149,-7.0,18.229561707320887
150,532.0,18.531092154945018
151,-630.0,18.492925558003243
152,623.0,18.90313295972549
153,-562.0,18.66450721836759
154,151.0,18.573099766369335
155,70.0,18.31202749760425
156,195.0,18.5930901226217
157,-360.0,18.467909563975702
158,-36.0,18.40811750951417
159,-20.0,18.246915284029164
160,73.0,18.349082297592933
161,160.0,18.27793161531721
162,-270.0,18.4593158574362
163,-44.0,18.587260309967252
164,169.0,18.597476894528896
165,41.0,18.473328525155825
166,-13.0,18.379840997568245
167,-485.0,18.413615629812135
168,385.0,18.404155454226867
169,488.0,18.480200075854476
170,-568.0,18.464183379334557
171,228.0,18.617102820317964
172,-273.0,18.620291375309733
173,138.0,18.46158924229444
174,548.0,18.738899074747344
175,-740.0,18.59971558753019
176,603.0,18.503339398116555
177,-449.0,18.53972020505071
178,519.0,18.346190614112356
179,-29.0,18.484965042180022
180,-734.0,18.553200134798963
181,193.0,18.60619550985316
182,174.0,18.840622829332656
183,259.0,18.57761207807816
184,-341.0,18.609871490007485
185,140.0,18.48718234469977
186,55.0,18.44714714895814
187,353.0,18.628219097931467
188,-345.0,18.56333966897082
189,80.0,18.795233940693095
190,-324.0,18.48040548428933
191,-40.0,18.415058008954528
192,112.0,18.500947001692357
193,-250.0,18.57897248418538
194,605.0,18.566586070228862
195,-39.0,18.462283305632972
196,-572.0,18.49031985817146
197,-8.0,18.78434763464388
198,-74.0,18.460385611243474
199,886.0,18.289417740927963
