episode,mean_acc_waiting_time,cumulative_reward,time,loss_value,waiting_time_95p
0,86.49451459325192,-1284.1155,46.15742588043213,365.017333984375,229.0
1,51.692800683614614,-1805.469,37.46770524978638,393.9742431640625,162.0
2,62.023819561551434,-4956.042,40.24958372116089,380.173095703125,196.0
3,56.153232577665825,-875.19684,38.23521280288696,274.73150634765625,172.84999999999945
4,39.59365146100483,-1850.9717,34.234599590301514,227.0465087890625,130.0
5,41.33465636097765,203.97675,34.20803737640381,237.35076904296875,135.69999999999982
6,29.97579143389199,13.729933,33.36167526245117,178.15928649902344,96.0
7,23.092537313432835,-300.17944,33.19758677482605,132.20089721679688,79.0
8,23.307724778387506,104.90759,32.472251653671265,159.8342742919922,77.0
9,19.630509939498705,-254.82242,32.925015449523926,112.61797332763672,69.0
10,19.89195549850235,162.57027,33.46655344963074,129.71533203125,73.0
11,19.27508431703204,176.38168,33.39928603172302,111.39984130859375,71.0
12,17.289674743505785,-233.23328,33.81627583503723,117.3868408203125,64.0
13,15.876290877796903,245.46321,32.557347536087036,136.86477661132812,59.649999999999636
14,16.6784793814433,-310.94717,33.917062759399414,125.01531982421875,64.0
15,20.58424747696358,158.77238,34.40521550178528,119.98682403564453,78.0
16,13.618281845112145,305.06848,32.831549882888794,128.591796875,49.0
17,13.385325037545591,238.20963,32.96360921859741,90.63245391845703,53.0
18,12.218516142826598,91.75098,32.76516604423523,96.6032485961914,54.0
19,11.999560729189545,-60.288857,33.74158430099487,104.11036682128906,48.399999999999636
20,13.36825953529154,43.829136,33.03556561470032,115.14073944091797,54.0
21,17.404991610738254,374.38382,34.38273572921753,106.17365264892578,60.0
22,10.483150800336984,340.0128,34.25807166099548,111.91451263427734,45.0
23,13.711639654809513,-969.11707,34.484591007232666,112.88469696044922,57.5
24,15.380649407634927,350.47604,33.04771876335144,107.44107055664062,59.0
25,10.921012437268166,-61.763866,33.14245963096619,89.9827651977539,41.0
26,10.067192832764505,386.42944,33.322243213653564,82.69505310058594,42.0
27,9.610642439974043,319.34604,33.26120185852051,97.02144622802734,40.0
28,46.40652818991098,-146784.28,64.94580578804016,56.333438873291016,131.0
29,10.458468878768164,300.19516,33.025084495544434,59.2817497253418,41.0
30,12.908875993982377,272.0331,32.668896198272705,91.34786987304688,53.0
31,9.682198840455229,241.18564,33.556766748428345,110.6491928100586,39.0
32,11.17922077922078,280.6443,34.74251914024353,115.78306579589844,44.0
33,127.53377894485557,-112944.54,95.80781388282776,129.247802734375,933.0
34,34.45114822546973,145.32153,35.915507316589355,101.24336242675781,134.65000000000055
35,17.09592476489028,315.78125,35.527100801467896,301.9773254394531,66.0
36,13.121966931500966,396.8729,36.03346514701843,156.5707244873047,53.19999999999982
37,12.30307529162248,98.118645,34.08692741394043,322.6247863769531,49.0
38,11.639556763537529,36.30975,33.66481161117554,653.1466064453125,48.0
39,12.929556856187292,335.1627,33.56706094741821,61.268409729003906,52.849999999999454
40,16.01123595505618,-750.29877,35.66249990463257,258.950439453125,64.0
41,18.31015820149875,392.07022,34.752121448516846,105.28026580810547,81.0
42,15.325826141864871,-886.219,32.95228719711304,426.75213623046875,60.5
43,14.96361273554256,75.706924,33.39277410507202,103.4579086303711,63.0
44,14.17134951042997,404.00363,34.4830048084259,476.83062744140625,55.0
45,91.3396750748183,-89504.36,53.04537320137024,855.1652221679688,555.1499999999996
46,144.77385620915032,-11553.017,108.40034675598145,856.9784545898438,912.0
47,143.4573542210618,-85228.01,121.42162370681763,431.39959716796875,916.0
48,19.778643639427127,335.4504,34.62123417854309,614.3999633789062,75.0
49,25.021032504780116,188.34174,36.611154317855835,427.6859130859375,109.69999999999982
