episode,mean_acc_waiting_time,cumulative_reward,time,loss_value,waiting_time_95p
0,70.155,-1796.0,37.31935787200928,262.7064208984375,200.05000000000018
1,60.489844425237685,-7375.0,35.82095551490784,267.64990234375,179.0
2,43.59107256187857,-4351.0,33.6081862449646,171.6044464111328,136.0
3,33.727064697316415,-795.0,33.14283299446106,155.27545166015625,111.0
4,33.86850545221296,-232.0,32.802716970443726,154.7125244140625,119.19999999999982
5,25.339791356184797,-70.0,31.991316556930542,219.09100341796875,90.0
6,22.932083333333335,-264.0,31.93022060394287,165.97052001953125,83.0
7,19.068589743589744,-65.0,31.4372456073761,140.96084594726562,70.0
8,18.943613099110824,294.0,31.542651176452637,116.71368408203125,70.0
9,16.696878363832077,271.0,31.40152597427368,129.11026000976562,62.0
10,14.688410524026962,-739.0,31.544747591018677,92.81904602050781,57.0
11,15.160286074884308,292.0,31.884343147277832,103.70061492919922,54.349999999999454
12,14.045653123634775,-7.0,31.42064619064331,87.91264343261719,53.0
13,14.327993254637438,213.0,32.09758234024048,76.23577880859375,54.0
14,16.54382904491932,355.0,31.953279972076416,126.07090759277344,59.0
15,12.348285529437137,67.0,31.90306520462036,100.15484619140625,46.0
16,10.416399058017555,249.0,31.694340467453003,57.60553741455078,40.5
17,11.060008572653237,178.0,32.12463569641113,95.74048614501953,43.0
18,9.491364421416234,410.0,31.815327405929565,74.71981811523438,39.0
19,10.036355767149967,409.0,32.0492959022522,73.8520736694336,43.0
20,9.799179442884906,405.0,31.824530124664307,68.11019897460938,40.5
21,10.071013557133634,340.0,32.240137815475464,64.48672485351562,43.0
22,9.166666666666666,397.0,32.207770586013794,65.75119018554688,35.0
23,8.8338720103426,399.0,31.86120629310608,60.636844635009766,35.0
24,11.15339038841343,6.0,32.320815324783325,65.21066284179688,46.0
25,9.589929592489865,291.0,31.982728004455566,45.68199920654297,36.0
26,11.29835785881851,415.0,32.36109900474548,56.454524993896484,46.0
27,9.520361990950226,-1.0,32.0215539932251,49.76092529296875,38.0
28,12.447296444350936,293.0,32.50228762626648,69.54949951171875,46.0
29,8.329406725208823,258.0,31.832600831985474,65.29753112792969,34.0
30,10.547878012369376,349.0,32.26915788650513,50.77765655517578,44.0
31,10.192716236722307,389.0,32.062772274017334,58.00611877441406,39.0
32,9.901234567901234,388.0,32.339457750320435,61.47834777832031,39.0
33,8.30466255056419,330.0,31.941006660461426,116.50914764404297,35.0
34,8.736543909348441,192.0,32.23867607116699,71.63972473144531,36.0
35,9.85859872611465,404.0,32.233328104019165,34.77702331542969,41.55000000000018
36,11.361061946902655,395.0,32.47528958320618,45.656333923339844,41.0
37,9.352916666666667,20.0,32.2779803276062,36.61159133911133,39.0
38,8.605219552609777,362.0,31.882773637771606,40.569114685058594,38.0
39,9.049538203190597,357.0,32.20962405204773,36.294429779052734,39.0
40,9.91659445407279,387.0,31.914889574050903,48.36856460571289,42.0
41,8.139301310043669,412.0,32.10298252105713,48.02076721191406,38.0
42,8.876315224393386,279.0,31.98214054107666,38.996639251708984,36.0
43,8.532244008714597,278.0,32.10497999191284,26.575969696044922,35.0
44,8.827009646302251,416.0,31.92273187637329,33.97575378417969,37.80000000000018
45,8.053270828894098,270.0,32.20704984664917,46.82911682128906,34.0
46,9.410147090172671,399.0,32.09727692604065,40.85694885253906,38.0
47,8.57178947368421,362.0,32.21811771392822,27.98432731628418,34.0
48,7.931227165269719,-350.0,31.808261394500732,32.765907287597656,31.0
49,8.030892932712653,374.0,32.105144739151,36.54629135131836,34.0
