episode,mean_waiting_time,mean_acc_waiting_time,cumulative_reward,time
0,20.176756469287152,82.83726821691216,-15986.0,94.59059286117554
1,19.486091170780288,81.72067524667733,-13396.0,84.35114979743958
2,18.280933561945137,79.54539561186871,-12180.0,89.17499732971191
3,18.025533185473765,80.4971647660418,-14152.0,84.72500252723694
4,16.877305929371627,79.21210721155758,-14829.0,88.7642433643341
5,17.228766002621917,76.90311438408101,-16995.0,78.23237204551697
6,16.439416325421533,74.9772721340278,-13236.0,69.14588022232056
7,16.45321422738079,75.05695005195173,-19572.0,70.71436285972595
8,15.56335318903779,70.42847541582502,-16225.0,61.4691219329834
9,15.299232275338458,72.40520788277934,-15735.0,64.46697616577148
10,14.629122027825842,67.62877443997178,-16152.0,60.21449089050293
11,13.11592282571407,62.847206385462684,-15682.0,57.0358350276947
12,13.937283410611828,66.36843964041611,-11993.0,59.22110366821289
13,12.774842982002182,59.38148357872498,-11548.0,51.82376480102539
14,12.808954153761324,59.392532244111145,-7833.0,52.2269172668457
15,12.558875794870106,62.85695019795904,-16154.0,58.644376277923584
16,12.34216579111051,62.53382709340654,-8957.0,55.74780797958374
17,11.643465586098964,57.05368502781499,-7768.0,51.857744455337524
18,11.78209836269962,61.403163684972135,-14428.0,57.08565402030945
19,10.198300766088108,43.84118964311046,-1595.0,47.938889026641846
20,9.585544264722337,41.270432244904136,-6537.0,46.88146233558655
21,8.748229225703907,36.65860005354939,-6286.0,44.9135217666626
22,9.242351822133275,39.282480338766945,-2999.0,45.73388314247131
23,8.6553235444062,36.897844902635136,-1254.0,44.931275367736816
24,8.142846680319392,32.55995424702571,-1773.0,44.412890672683716
25,8.397059086346726,38.28616060068449,-3395.0,45.381860971450806
26,8.325043203442554,35.51663508884109,-4789.0,44.48618769645691
27,7.922195361703679,34.41739124438643,-782.0,44.35589551925659
28,7.26370366984115,27.68001588311827,-677.0,43.0725314617157
29,6.868809399579517,25.411342363608185,-1633.0,42.40550255775452
30,6.370941207121922,23.636818094361924,-2673.0,42.007975578308105
31,5.700487574618779,17.485018280377883,-1474.0,40.34570527076721
32,5.706880469775014,19.381576091267146,-772.0,41.220340728759766
33,5.506794363754096,16.870883065273354,-883.0,40.3767204284668
34,5.523456844164745,18.048353685878674,-1652.0,40.48493838310242
35,5.344742929465565,16.404029600554605,-305.0,40.56974768638611
36,4.812327084052578,12.890940972090457,-195.0,39.38462162017822
37,4.859009396108488,14.691738972735072,-2035.0,40.1071572303772
38,4.6721873566023895,15.090880877186578,-746.0,40.24796772003174
39,4.009980864371782,11.189881556551484,-1176.0,39.52051639556885
40,4.316333844078981,12.352454885465551,-744.0,39.63765048980713
41,4.114388243185846,12.054220899911618,-1064.0,39.52208995819092
42,3.554814758250948,9.406334800107908,-426.0,39.01359009742737
43,3.477940951782555,8.428186715866351,-436.0,38.85595393180847
44,3.568006288586834,9.809184068006221,-732.0,39.2323944568634
45,3.2940907803297454,7.479441042813857,-423.0,38.47419285774231
46,2.8106416857077434,6.205593163436174,-185.0,38.271910190582275
47,2.6165835536154187,5.6987202296520545,-679.0,38.345982789993286
48,2.38016969327147,5.152455049547861,-395.0,38.36005425453186
49,2.4202449394205683,4.956361830087529,-522.0,38.010488986968994
50,2.289445897555519,4.7178117707202425,-277.0,37.99794912338257
51,2.483773311167549,5.1435923159338,-255.0,38.248390436172485
52,1.8647896077553074,3.7812030158567014,-466.0,37.795238971710205
53,1.7831682711528614,3.6333265112107807,-94.0,37.69915699958801
54,1.7594033237372388,3.510839236677129,-43.0,37.718555212020874
55,1.7851654374802577,3.49665591039675,-47.0,37.657891511917114
56,1.96625569771113,4.116579409642808,-272.0,38.12827157974243
57,1.9152301248020482,4.155287635012993,-237.0,37.94637131690979
58,1.9246086337899646,4.001283230439709,-336.0,37.852399826049805
59,1.842512935814585,3.9446174574306254,-49.0,37.84451365470886
60,2.076457159653655,4.464294109616341,-163.0,38.05782508850098
61,2.1964035011416705,4.66015974525251,-383.0,37.96500635147095
62,2.024999288949231,4.225801208768489,-63.0,38.09722971916199
63,1.9702618985415867,3.633176001530709,-69.0,37.445114612579346
64,2.476479144839776,5.2985647700945915,-299.0,38.21777009963989
65,2.0708827218477905,4.2211330451110305,-525.0,37.88502597808838
66,2.153251179006282,4.272628774275728,-102.0,37.8421835899353
67,2.41115623974178,5.627807996649234,-84.0,38.488017559051514
68,2.1447902493483504,4.382122038442739,-100.0,38.01803779602051
69,2.284278791710835,4.887137444983651,-49.0,38.09095644950867
70,1.9094363894132065,3.820230323041859,-374.0,37.90619897842407
71,1.910822299679535,4.055223474233715,-492.0,37.99249792098999
72,1.942119868655511,3.6755489377048676,-275.0,37.733264446258545
73,1.8871916748818138,3.8460025721331537,-244.0,37.63329291343689
74,1.742648775476884,3.524469693188715,-68.0,37.57904648780823
75,1.832003030864424,3.5057409346976054,-22.0,37.726516246795654
76,1.6858917415607253,3.1217573893613366,-170.0,37.476330041885376
77,1.6128830501605653,2.9970697064515037,-180.0,37.417644023895264
78,1.6964332591227091,3.4515061917561183,-459.0,37.78272294998169
79,1.7336811219956478,3.605545405958724,-159.0,37.670719385147095
80,1.6759223276273112,3.2943815120427438,-132.0,37.64595103263855
81,1.6775327126437116,3.1821733526429687,-121.0,37.50066375732422
82,1.7849896841547463,3.7129986609309866,-38.0,37.72344398498535
83,2.060997857199947,4.250671448252445,-237.0,37.89512491226196
84,1.761850520679609,3.3826495042408564,-425.0,37.54134798049927
85,1.684910338198845,3.311319288555349,-365.0,37.70036745071411
86,1.7866470056662462,3.6002619233464146,-10.0,37.793212890625
87,1.8398373474038523,3.4934948548531732,-108.0,37.724496841430664
88,2.193932730512451,4.351443692335021,-90.0,37.88175320625305
89,2.0969228726878497,4.192506566209078,-62.0,37.644927978515625
90,1.7493172186458592,3.460597234716093,-20.0,37.852744817733765
91,1.6732515916164143,3.2461193145531637,-139.0,37.53542375564575
92,1.790669435245052,3.491638201035631,-114.0,37.78182792663574
93,2.1773366364413294,4.351887318091866,-273.0,37.92712879180908
94,2.227327078883256,4.6487772508611025,-432.0,37.9250123500824
95,2.1407084456644614,4.4661667214268705,-162.0,38.0428032875061
96,1.9026556033977169,3.8413747584165385,-202.0,38.071006774902344
97,2.3531010792646807,5.494507753329894,-18.0,40.13712239265442
98,3.6976084632335886,11.405646755402149,-380.0,40.706507444381714
99,1.9488978259655014,3.7923600834175852,-38.0,37.52692365646362
100,1.7812271809257223,3.556974221155932,-307.0,39.13163948059082
