episode,cumulative_reward,mean_acc_waiting_time
0,-427.0,24.889968858427306
1,-310.0,13.277067196689872
2,-375.0,14.703174710354483
3,-147.0,11.504704727218867
4,-728.0,8.618979120131822
5,-3957.0,15.59277761328525
6,-650.0,40.06706917942702
7,-199.0,23.02920589741461
8,-404.0,13.091581929361729
9,-1327.0,9.92299543756622
10,-12625.0,41.00432541408184
11,-363.0,44.44862818679825
12,-79.0,10.074251141915852
13,-350.0,15.815705860457227
14,-58.0,16.58925735650362
15,-987.0,15.024955518722894
16,-584.0,10.607916902263439
17,-409.0,14.526422125894733
18,-45.0,17.620558845855857
19,-1777.0,16.808700169725995
20,-86.0,24.931823521634648
21,-79.0,13.701803843497654
22,-2918.0,13.942497110463616
23,-231.0,29.992910939597646
24,-2035.0,14.855727925115945
25,-1386.0,9.651397245484615
26,-2461.0,23.287299933341675
27,-317.0,27.349403459855328
28,-1468.0,22.316537717241687
29,-82.0,11.451093296118243
30,-16588.0,38.867225470780255
31,-10448.0,14.135069710747189
32,-451.0,10.44076079582065
33,-596.0,20.05288649272478
34,-1327.0,30.79692876135434
35,-248.0,11.155061527374368
36,-3093.0,18.799874972256728
37,-5070.0,17.636948994183683
38,-3939.0,13.993151161103182
39,-700.0,11.987964523879073
40,-578.0,19.5643038427185
41,-3712.0,28.430844158547675
42,-276.0,28.197508987504616
43,-271.0,17.371127708394617
44,-108.0,18.034110146619845
45,-3829.0,22.96453748714686
46,-4269.0,15.890705205713767
47,-11799.0,28.029886565978664
48,-58.0,18.449261780781153
49,-492.0,14.771164909430684
50,-524.0,14.973014060719427
51,-138.0,15.727280683691138
52,-1783.0,12.035679716428604
53,-582.0,8.773150868039384
54,-7005.0,25.027213762404028
55,-4554.0,12.305753065350709
56,-655.0,18.992772078121835
57,-3562.0,25.578158212564887
58,-333.0,13.791600671330054
59,-860.0,21.3060011313221
60,-10242.0,15.819292455860115
61,-201.0,18.273998463296564
62,-4132.0,12.801884594563864
63,-1739.0,20.805193397056474
64,-110.0,19.890599018704673
65,-429.0,8.640384409582136
66,-672.0,12.182789709627386
67,-39.0,16.074561806764592
68,-2385.0,34.487129218539486
69,-1074.0,9.864444641408783
70,-182.0,10.763123860044663
71,-4549.0,17.916178230681886
72,-4354.0,17.392373242606844
73,-197.0,10.384302940365366
74,-15161.0,15.378144248758026
75,-83.0,10.191909779221618
76,-1882.0,12.136903650819148
77,-385.0,17.697326246462158
78,-1128.0,14.438303292615036
79,-410.0,12.061681545061589
80,-1350.0,18.183748775586025
81,-1808.0,9.64458987733073
82,-63.0,15.295687518989144
83,-144.0,12.878162778027264
84,-58.0,16.585805461293262
85,-316.0,17.026091434152274
86,-152.0,10.093317847080602
87,-1033.0,17.50637173522692
88,-219.0,17.68647729571035
89,-2169.0,13.312397110731943
90,-50.0,12.624313315745246
91,-209.0,27.28732476731696
92,-6770.0,16.11857061006255
93,-428.0,15.262283571707211
94,-624.0,19.998376521136436
95,-431.0,10.53428709903502
96,-358.0,14.819803523520525
97,-177.0,19.87541803859547
98,-49.0,8.27460510740361
99,-15768.0,19.576042812486605
