episode,cumulative_reward,mean_waiting_time
0,-471.0,19.634311056100863
1,-1022.0,19.81018074354334
2,-305.0,18.1096497167555
3,-1486.0,18.496630382813265
4,2364.0,17.888127944930083
5,-2158.0,18.652809375469648
6,2205.0,17.770441337001564
7,54.0,17.438842847360352
8,-1267.0,17.76077427906172
9,332.0,17.68539918382239
10,921.0,16.59257963927208
11,-1.0,16.210104590173188
12,-2296.0,15.842052987894721
13,1900.0,16.343126578656697
14,-7261.0,15.593401812062368
15,5638.0,16.518115930500784
16,1956.0,15.380562716203514
17,-194.0,16.004886288951646
18,-207.0,15.567916765329837
19,-206.0,14.620362615644082
20,-461.0,15.643419086314879
21,-16.0,14.679342427435653
22,703.0,13.733792292000555
23,-2543.0,15.271455936344365
24,3325.0,13.694998894592322
25,-1852.0,13.591863116981298
26,844.0,12.8969302514438
27,337.0,13.201229075839036
28,-1777.0,12.512426452680232
29,1683.0,13.32254313967477
30,-165.0,13.430164132058069
31,680.0,12.712547670550551
32,33.0,12.710125777648187
33,-537.0,12.36246772947429
34,-795.0,12.227044586498101
35,915.0,11.523244035801795
36,92.0,12.365148810234006
37,-149.0,12.191138752131348
38,445.0,11.848858460931016
39,-488.0,11.81409179844149
40,643.0,11.237598425146686
41,113.0,11.540779381984844
42,-3852.0,12.008667681610918
43,2462.0,11.129705489699669
44,-617.0,11.983084234832436
45,-768.0,11.566835891855671
46,1020.0,10.35281090665224
47,1019.0,11.277399060590566
48,799.0,11.255542946284233
49,53.0,10.944178912412779
50,-2336.0,9.755518903615812
51,2345.0,10.056177479744884
52,-708.0,9.556320619912286
53,630.0,9.80720885979385
54,-1360.0,8.64091970489694
55,1382.0,9.673593656014651
56,-379.0,9.491364439341899
57,-292.0,9.035880189947488
58,595.0,8.57687931680718
59,-59.0,8.613202095674437
60,-420.0,8.836633826102087
61,142.0,9.39084272897193
62,232.0,9.46780416780418
63,69.0,7.729176675816407
64,-608.0,8.77353700687167
65,818.0,7.958340734498117
66,-452.0,8.352169576692189
