sim_step,mean_waiting_time,episode
5.0,0.0,0
10.0,0.0,0
15.0,0.0,0
20.0,0.16666666666666666,0
25.0,0.6111111111111112,0
30.0,1.35,0
35.0,0.23809523809523808,0
40.0,0.3181818181818182,0
45.0,0.6521739130434783,0
50.0,1.0,0
55.0,1.9047619047619047,0
60.0,2.6666666666666665,0
65.0,4.0,0
70.0,0.14285714285714285,0
75.0,0.3333333333333333,0
80.0,0.8,0
85.0,1.6,0
90.0,3.5,0
95.0,5.08,0
100.0,3.5357142857142856,0
105.0,0.3448275862068966,0
110.0,0.8333333333333334,0
115.0,1.28125,0
120.0,2.25,0
125.0,3.9583333333333335,0
130.0,6.5,0
135.0,0.05263157894736842,0
140.0,0.4090909090909091,0
145.0,1.0384615384615385,0
150.0,1.4705882352941178,0
155.0,2.484848484848485,0
160.0,4.09375,0
165.0,6.03030303030303,0
170.0,0.42857142857142855,0
175.0,0.19444444444444445,0
180.0,0.3684210526315789,0
185.0,0.6666666666666666,0
190.0,1.0833333333333333,0
195.0,1.9375,0
200.0,0.27586206896551724,0
205.0,0.2,0
210.0,1.064516129032258,0
215.0,2.2857142857142856,0
220.0,3.8421052631578947,0
225.0,6.361111111111111,0
230.0,9.114285714285714,0
235.0,1.975,0
240.0,0.4186046511627907,0
245.0,1.186046511627907,0
250.0,1.8695652173913044,0
255.0,2.723404255319149,0
260.0,4.512195121951219,0
265.0,2.5789473684210527,0
270.0,0.5833333333333334,0
275.0,1.8823529411764706,0
280.0,3.4857142857142858,0
285.0,5.314285714285714,0
290.0,8.193548387096774,0
295.0,10.741935483870968,0
300.0,2.2777777777777777,0
305.0,0.4594594594594595,0
310.0,1.5945945945945945,0
315.0,2.0,0
320.0,2.6,0
325.0,4.026315789473684,0
330.0,5.2,0
335.0,2.8484848484848486,0
340.0,4.53125,0
345.0,6.935483870967742,0
350.0,9.32258064516129,0
355.0,12.266666666666667,0
360.0,14.67741935483871,0
365.0,6.885714285714286,0
370.0,0.05555555555555555,0
375.0,0.42105263157894735,0
380.0,0.8461538461538461,0
385.0,1.4864864864864864,0
390.0,1.5757575757575757,0
395.0,2.28125,0
400.0,0.4482758620689655,0
405.0,1.2333333333333334,0
410.0,2.3333333333333335,0
415.0,4.4,0
420.0,6.8,0
425.0,8.676470588235293,0
430.0,8.0,0
435.0,1.3,0
440.0,1.0,0
445.0,1.5777777777777777,0
450.0,2.3541666666666665,0
455.0,3.326530612244898,0
460.0,4.574468085106383,0
465.0,1.0930232558139534,0
470.0,0.27906976744186046,0
475.0,0.975609756097561,0
480.0,2.2162162162162162,0
485.0,4.212121212121212,0
490.0,6.838709677419355,0
495.0,10.814814814814815,0
500.0,0.6551724137931034,0
505.0,0.3333333333333333,0
510.0,0.6176470588235294,0
515.0,1.0625,0
520.0,1.8571428571428572,0
525.0,3.2083333333333335,0
530.0,0.0,0
