episode,cumulative_reward,mean_waiting_time,elapsed_time
0,-7028.0,19.02608564825865,114.14426493644714
1,-5414.0,19.054431612414014,116.0431261062622
2,-6655.0,18.493327853900826,111.85286569595337
3,-4662.0,18.81558415226833,123.14718103408813
4,-7383.0,18.811278789351817,107.00107526779175
5,-8118.0,16.056158125354273,105.26764273643494
6,-5928.0,17.767253762499383,104.40881896018982
7,-4496.0,17.889369275637893,99.62347745895386
8,-7914.0,16.58592091620247,88.88380265235901
9,-5776.0,15.147348072093637,84.30798363685608
10,-5319.0,15.659339298020718,83.33258509635925
11,-7234.0,15.335046971331229,80.52231216430664
12,-4400.0,16.317462100514422,82.63575196266174
13,-4513.0,14.777351345434473,81.11041235923767
14,-5795.0,13.92271064985731,73.83485960960388
15,-6553.0,13.349350651496456,69.13125109672546
16,-4213.0,13.469526073028304,72.41884708404541
17,-2788.0,13.632928587442207,77.18311381340027
18,-4883.0,13.100991552046782,69.40684580802917
19,-3548.0,12.020386104473785,64.02058982849121
20,-6415.0,12.299655341630228,69.49626064300537
21,-5100.0,12.118515951956478,63.022059202194214
22,-3057.0,12.065010182695975,61.40727996826172
23,-4560.0,12.069161870393215,68.40621256828308
24,-4660.0,12.200946072159837,66.67835545539856
25,-4162.0,11.383996476126482,65.53949284553528
26,-6458.0,10.70838349908487,64.93407964706421
27,-2906.0,10.637491586960246,59.51764965057373
28,-3575.0,10.21564741611278,57.70157337188721
29,-3126.0,10.484538121163556,62.57910180091858
30,-1347.0,10.208995666025647,58.50147008895874
31,-4439.0,9.452968959326125,58.192108154296875
32,-3229.0,9.975048425005424,55.610464572906494
33,-3488.0,9.64335893699292,55.542662143707275
34,-3090.0,9.514845037263978,56.87326192855835
35,-5869.0,8.595215552506101,51.694225549697876
36,-2635.0,8.892340778962469,52.349339723587036
37,-2606.0,8.230324494116365,51.659788370132446
38,-3894.0,8.97022579612135,54.17445945739746
39,-715.0,7.8218396800358345,49.7780122756958
40,-4295.0,7.96455858069174,48.17960524559021
41,-2640.0,8.156583290050273,54.18610906600952
42,-3219.0,7.679323198809938,48.71446251869202
43,-3276.0,7.466012513955723,48.31221580505371
44,-337.0,6.982533659683146,46.795178174972534
45,-2312.0,7.2630167996191775,48.96533203125
46,-791.0,5.872948312713369,41.78360629081726
47,-844.0,6.41745091449375,43.62840032577515
48,-951.0,6.31118986843611,44.470510959625244
