episode,cumulative_reward,mean_waiting_time,elapsed_time
49,-1087.0,6.334300338206773,43.89702129364014
50,-1183.0,6.313479098167511,42.998268604278564
51,-2258.0,5.940931052978223,42.789982318878174
52,-1361.0,5.643467206742756,41.620962142944336
53,-366.0,5.705273686282774,43.023136377334595
54,-374.0,5.322783320553655,42.87577843666077
55,-198.0,4.831495310050719,39.423646688461304
56,-356.0,5.062439539792231,39.666808128356934
57,-1528.0,4.695897485760524,38.752540588378906
58,-694.0,4.24414156184322,36.9030647277832
59,-699.0,4.3061767874186945,37.529305934906006
60,-1728.0,4.605184224213749,40.06324505805969
61,-1644.0,4.544350552500034,38.53762650489807
62,-1282.0,4.506236607404556,38.884374380111694
63,-498.0,4.13344506844636,37.620150566101074
64,-1133.0,4.722649152523966,39.18079924583435
65,-2564.0,4.5685004885718286,38.61030697822571
66,-1543.0,4.770439726033292,40.26568126678467
67,-149.0,3.7911790111782606,36.53679132461548
68,-84.0,4.2702353018215335,37.526543378829956
69,-1308.0,3.69955241417415,36.15180540084839
70,-857.0,3.814620107367342,36.40270781517029
71,-113.0,3.6966834690408823,36.75950002670288
72,-1049.0,3.7343026388976654,36.73191833496094
73,-201.0,3.502240579112934,35.6215705871582
74,-76.0,3.739403633685418,36.99303221702576
75,-102.0,3.6524191263992605,36.57237434387207
76,-1123.0,3.163506657044692,34.83858132362366
77,-677.0,3.0316342147630064,35.177510023117065
78,-720.0,3.288851888278799,35.832810163497925
79,-245.0,2.8158507655397194,33.838974714279175
80,-24.0,2.7293400731294017,34.105969190597534
81,-98.0,2.9746178781656614,34.21109700202942
82,-82.0,2.861918780656038,33.89914798736572
83,-67.0,3.2766634871425024,35.829965114593506
84,-17.0,2.87897508749229,35.085840940475464
85,-89.0,2.8132354182734183,34.09035801887512
86,-116.0,2.636245219554086,33.81202507019043
87,-523.0,2.554214374326409,33.71861982345581
88,-208.0,2.6324807866924766,34.644484758377075
89,-109.0,2.738228766125731,33.87184762954712
90,-53.0,2.707881524781077,34.53215432167053
91,-942.0,3.0905380153164552,35.00154376029968
92,-145.0,2.3689672431025524,33.05227732658386
93,-93.0,2.471488573498791,32.981786489486694
94,-180.0,2.503271400987419,33.798619985580444
95,-131.0,2.3848792137662045,33.350547790527344
96,-539.0,2.837913118109743,35.408939361572266
97,-125.0,2.307020861068778,32.84621787071228
98,-54.0,2.2985957753327937,33.06762671470642
99,-38.0,2.4158854539885564,33.341740131378174
100,-327.0,2.367224542309235,33.15463471412659
101,-521.0,2.4220492490190693,33.536930561065674
102,-331.0,2.33301620335778,33.51558494567871
103,-33.0,2.419716119365366,33.79702091217041
104,-363.0,2.1845618191575276,32.73264408111572
105,-420.0,2.115049481268255,32.39333987236023
106,-90.0,2.3640924457991623,33.529154539108276
107,-102.0,2.440923899630722,33.772212505340576
108,-775.0,2.3474193031636776,33.467469930648804
109,-74.0,2.1916561468825293,33.088205337524414
110,-55.0,2.1747519325314397,33.04286432266235
111,-242.0,2.1546827583251065,32.87641644477844
112,-1705.0,2.416608985543411,34.01872134208679
113,-473.0,2.0509780622528986,32.5983784198761
114,-1497.0,1.97072510073028,32.471662521362305
115,-689.0,2.1613326937453174,33.192978382110596
116,-34.0,2.2459942729359277,33.68388342857361
117,-1044.0,1.974722212564085,32.27107071876526
118,-10.0,2.0075890500028084,32.524982929229736
119,-93.0,1.924649678242975,32.40101170539856
120,-60.0,1.925008443764775,31.930691957473755
121,-34.0,1.952220025850857,32.76214075088501
122,-784.0,1.9960546154284184,32.8446478843689
123,-22.0,2.084557129413491,32.97021675109863
124,-154.0,1.9130823833587471,32.07316613197327
125,-1287.0,1.9019220407119453,31.793328046798706
126,-40.0,1.8204468357444414,32.29496121406555
127,-34.0,1.8455146137985674,32.01890206336975
128,-137.0,2.0740827024660047,32.94970488548279
129,-58.0,1.8171648231935154,32.03642177581787
130,-280.0,1.813744969457486,31.955032110214233
131,-8.0,2.044996296045828,32.78214383125305
132,-500.0,1.952573338064931,32.7314887046814
133,-99.0,1.8592484457718945,31.93842625617981
134,-158.0,1.9306484989761568,32.77798819541931
135,-43.0,2.07848591445784,33.39630699157715
136,-279.0,1.7760440484805675,32.28625535964966
137,-287.0,1.8371810002164113,32.3164963722229
138,-782.0,2.142498544238335,33.07406139373779
139,-329.0,1.7558555828699969,33.30447840690613
140,-662.0,1.8046190259328971,32.81730008125305
141,-340.0,1.7861387460116769,33.089672565460205
142,-128.0,1.7592247143167354,32.550204038619995
143,-75.0,1.9696003005363094,33.57772946357727
144,-206.0,1.8613012028586036,32.74890732765198
145,-134.0,1.7599123532798118,32.13814377784729
146,-519.0,1.8516354384959153,32.878886461257935
147,-115.0,1.7930154193407715,32.600276708602905
148,-307.0,1.7901183459925676,32.36559200286865
149,-562.0,1.7564291312973577,32.15731763839722
150,-471.0,1.8163032503015388,32.162455558776855
151,-492.0,1.680921616717101,32.02488327026367
152,-297.0,1.7986420578324336,32.53137397766113
153,-171.0,1.7370167037639248,32.02771043777466
154,-244.0,1.6485763156045494,31.919652462005615
155,-74.0,1.6406140310325934,31.857999801635742
156,-534.0,1.6815665690069241,31.97330927848816
157,-415.0,1.6479355272321683,31.666714906692505
158,-98.0,1.634197882699284,31.72137188911438
159,-56.0,1.7041765844742092,31.876163244247437
160,-132.0,1.565305325107288,31.457298755645752
161,-118.0,1.5473293733787383,31.811193466186523
162,-29.0,1.5360453599275334,31.272637128829956
163,-107.0,1.704274295582308,32.195109844207764
164,-122.0,1.5527607120063283,31.310500383377075
165,-19.0,1.600131805043832,31.482617139816284
166,-123.0,1.5383553417065017,31.089235544204712
167,-839.0,1.6087113721238355,31.779722929000854
168,-78.0,1.6420961501648468,32.12998676300049
169,-51.0,1.7825866985430971,32.27513790130615
170,-79.0,1.6805592233233821,31.622833013534546
171,-37.0,1.5694403959415535,31.33816623687744
172,-321.0,1.7373225664826721,32.21274971961975
173,-86.0,1.5625716068813176,31.575674057006836
174,-91.0,1.5986754882988408,31.88711667060852
175,-78.0,1.7310274507711065,32.26209020614624
176,-316.0,1.5607966683501198,31.482406616210938
177,-343.0,1.5162969395433636,31.762405395507812
178,-60.0,1.556393498769086,31.708388805389404
179,-202.0,1.5795806838784843,31.790435075759888
180,-38.0,1.4896389905735654,31.486931324005127
181,-211.0,1.6237737251895346,32.10380673408508
182,-110.0,1.8013366937328699,33.027289152145386
183,-193.0,1.4480927623916016,31.445836067199707
184,-31.0,1.6750581925953314,31.99155044555664
185,-87.0,1.5291377396609602,31.09304714202881
186,-249.0,1.542279453538334,31.850272178649902
187,-259.0,1.6585283640629465,32.358968019485474
188,-125.0,1.6501627512819361,32.292203187942505
189,-101.0,1.5765567949603536,31.854414701461792
190,-86.0,1.614826988169254,31.763105869293213
191,-315.0,1.5597179322484565,31.746098041534424
192,-79.0,1.5494823184010624,31.720310926437378
193,-133.0,1.5308728441288326,31.388427019119263
194,-350.0,1.5948320543409196,32.188138246536255
195,-199.0,1.5019465320198415,31.558900117874146
196,-10.0,1.4594083246539669,31.181185722351074
197,-47.0,1.580953482039623,31.756194829940796
198,-361.0,1.5530397013849435,31.62847089767456
199,-160.0,1.5083084808498826,31.72696876525879
