params,episode,cumulative_reward,mean_waiting_time
"start_epsilon:1,decay_rate:0.02",99,-11.0,2.8400463944908942
"start_epsilon:1,decay_rate:0.03",0,-11937.0,22.040501926369604
"start_epsilon:1,decay_rate:0.03",1,7236.0,19.754899079043014
"start_epsilon:1,decay_rate:0.03",2,-627.0,18.40110694131581
"start_epsilon:1,decay_rate:0.03",3,-729.0,18.37900904608319
"start_epsilon:1,decay_rate:0.03",4,996.0,18.5409541018318
"start_epsilon:1,decay_rate:0.03",5,2202.0,16.918880955849257
"start_epsilon:1,decay_rate:0.03",6,-1854.0,15.925576839473965
"start_epsilon:1,decay_rate:0.03",7,1769.0,15.161743231825078
"start_epsilon:1,decay_rate:0.03",8,1199.0,15.574009183532134
"start_epsilon:1,decay_rate:0.03",9,473.0,15.076251417864526
"start_epsilon:1,decay_rate:0.03",10,-2517.0,14.462728132413533
"start_epsilon:1,decay_rate:0.03",11,1691.0,14.725921830156334
"start_epsilon:1,decay_rate:0.03",12,-2277.0,13.894345832345007
"start_epsilon:1,decay_rate:0.03",13,3337.0,14.163531428536654
"start_epsilon:1,decay_rate:0.03",14,-817.0,13.741842810228064
"start_epsilon:1,decay_rate:0.03",15,-2064.0,12.560671255281878
"start_epsilon:1,decay_rate:0.03",16,2757.0,13.0103515707434
"start_epsilon:1,decay_rate:0.03",17,-1390.0,11.946044077808693
"start_epsilon:1,decay_rate:0.03",18,-1463.0,12.026815141822295
"start_epsilon:1,decay_rate:0.03",19,1137.0,11.535996721814977
"start_epsilon:1,decay_rate:0.03",20,1196.0,11.220277925267148
"start_epsilon:1,decay_rate:0.03",21,1019.0,11.607400057577843
"start_epsilon:1,decay_rate:0.03",22,-1930.0,11.34795110277686
"start_epsilon:1,decay_rate:0.03",23,456.0,10.02539796151893
"start_epsilon:1,decay_rate:0.03",24,1789.0,9.941845199359479
"start_epsilon:1,decay_rate:0.03",25,-1564.0,10.394353250961583
"start_epsilon:1,decay_rate:0.03",26,618.0,10.031468707449308
"start_epsilon:1,decay_rate:0.03",27,695.0,9.913192966747134
"start_epsilon:1,decay_rate:0.03",28,70.0,8.779474219219313
"start_epsilon:1,decay_rate:0.03",29,-2543.0,9.400598250326478
"start_epsilon:1,decay_rate:0.03",30,589.0,8.440561605581173
"start_epsilon:1,decay_rate:0.03",31,1684.0,7.86005882989077
"start_epsilon:1,decay_rate:0.03",32,-1241.0,7.880588772596573
"start_epsilon:1,decay_rate:0.03",33,-884.0,7.640073464610215
"start_epsilon:1,decay_rate:0.03",34,1108.0,6.872600194608257
"start_epsilon:1,decay_rate:0.03",35,1367.0,7.059475341825455
"start_epsilon:1,decay_rate:0.03",36,-325.0,5.7959610573061555
"start_epsilon:1,decay_rate:0.03",37,213.0,5.459117341873439
"start_epsilon:1,decay_rate:0.03",38,49.0,5.916969036142652
"start_epsilon:1,decay_rate:0.03",39,-117.0,5.798456089859215
"start_epsilon:1,decay_rate:0.03",40,-132.0,5.21486473104058
"start_epsilon:1,decay_rate:0.03",41,-269.0,5.216548350818275
"start_epsilon:1,decay_rate:0.03",42,811.0,4.757610803866185
"start_epsilon:1,decay_rate:0.03",43,-551.0,4.973040296818052
"start_epsilon:1,decay_rate:0.03",44,517.0,5.159953773117665
"start_epsilon:1,decay_rate:0.03",45,-712.0,5.605745445572295
"start_epsilon:1,decay_rate:0.03",46,-772.0,5.030424463735368
